Flow 1 (10.100.0.2 -> 10.100.0.1): 0.00355045 Mbps
Flow 2 (10.100.0.1 -> 10.100.0.2): 0.00614402 Mbps
Flow 3 (13.0.0.5 -> 13.0.0.6): 9890.18 Mbps
Flow 4 (14.0.0.6 -> 14.0.0.5): 9890.18 Mbps
Flow 5 (14.0.0.5 -> 14.0.0.6): 9602.86 Mbps
Flow 6 (13.0.0.6 -> 13.0.0.5): 9777.78 Mbps
Flow 7 (1.0.0.2 -> 7.0.0.2): 0.156715 Mbps
Flow 8 (1.0.0.2 -> 7.0.0.3): 0.155286 Mbps
Flow 9 (1.0.0.2 -> 7.0.0.4): 0.154852 Mbps
Flow 10 (1.0.0.2 -> 7.0.0.5): 0.154793 Mbps
Flow 11 (1.0.0.2 -> 7.0.0.6): 0.119036 Mbps
Flow 12 (1.0.0.2 -> 7.0.0.7): 0.155108 Mbps
Flow 13 (1.0.0.2 -> 7.0.0.8): 0.155055 Mbps
Flow 14 (1.0.0.2 -> 7.0.0.9): 0.154623 Mbps
Flow 15 (7.0.0.2 -> 1.0.0.2): 0.0144818 Mbps
Flow 16 (7.0.0.3 -> 1.0.0.2): 0.0142649 Mbps
Flow 17 (7.0.0.4 -> 1.0.0.2): 0.0140544 Mbps
Flow 18 (7.0.0.5 -> 1.0.0.2): 0.01385 Mbps
Flow 19 (7.0.0.6 -> 1.0.0.2): 0.0143725 Mbps
Flow 20 (7.0.0.7 -> 1.0.0.2): 0.0141589 Mbps
Flow 21 (7.0.0.8 -> 1.0.0.2): 0.0139514 Mbps
Flow 22 (7.0.0.9 -> 1.0.0.2): 0.01375 Mbps
Flow 23 (1.0.0.2 -> 7.0.0.2): 0.134681 Mbps
Flow 24 (1.0.0.2 -> 7.0.0.3): 0.0790665 Mbps
Flow 25 (1.0.0.2 -> 7.0.0.6): 0.136472 Mbps
Flow 26 (1.0.0.2 -> 7.0.0.7): 0.134406 Mbps
Flow 27 (1.0.0.2 -> 7.0.0.4): 0.134672 Mbps
Flow 28 (1.0.0.2 -> 7.0.0.8): 0.133865 Mbps
Flow 29 (1.0.0.2 -> 7.0.0.5): 0.134523 Mbps
Flow 30 (1.0.0.2 -> 7.0.0.9): 0.133931 Mbps
